1. √   C 类 IP 地址的最高三个比特位，从高到低依次是110。
2. √   FDDI网络通常在物理拓扑上采用星型结构，而逻辑结构是环型。
3. ×   ATM 网络采用的是树形拓扑结构。
4. √   IP 协议提供的是无连接的数据报服务。
5. ×   计算机与打印机之间的通信属于单工通信。
6. ×   网络的吞吐量随网络负荷的增加，而呈先增加后减少的趋势。
7. √   TCP/IP协议系列分成网络接口、网络层、传输层、应用层等四个层次的结构。
8. √   国际标准化组织ISO提出的“开放系统互连参考模型（OSI）” 有7层。
9. √   文件系统的主要目的是实现对文件的按名存取。
10. ×  有害信息侵入是网络的一种不安全因素，而信息泄露属于安全性范畴。
11. √  网桥是属于OSI模型中数据链路层的互联设备。 
12. √  宽带ISDN的核心技术是ATM技术。
13. ×  为网络数据交换而制定的规则、约定与标准称之为网络协议。
14. √  目前防病毒的手段，还未达到查杀未知病毒的程度。
15. ×  在数据传输中，多模光纤的性能要低于单模光纤。
16. ×  对J进制数，若小数点左移一位，则该数缩小J倍。 
17. √  目前实际存在和使用的广域网基本都是采用网状拓扑结构。
18. ×  Ethernet属于总线形拓扑结构。
19. ×  在分组交换网中，信息是以报文为单位来传输的。（分组；报文交换主要应用于公 用电报网中）
20. √  TCP的主要功能是保证信息可靠传输。
21. ×  裸机是指不含软件的计算机。 
22. √   一般所称的计算机内存容量是以RAM的容量为准。 
23. ×   对付网上黑客进入自己计算机的最有效手段是设置防火墙。
24. √   操作系统是最基本、最重要的系统软件。
25. √   制定OSI/RM的国际标准化组织是ISO。
26. ×   数据链路控制协议可分为异步协议和同步协议两大类，而同步协议又可分为面向字符的同步协议、面向比特的同步协议及面向字节计数的同步协议等三种类型。
27. ×   将物理信道的总带宽分割成若干个与传输单个信号带宽相同（或略宽）的子信道，每个子信道传输一路信号，这种信道复用方式称为频分多路复用。
28. √   利用现有的一对电话铜线，为用户提供上、下行非对称的传输速率，用以提供多媒体信息业务，这种技术称为ADSL技术。
29. ×   路由器用以实现不同网络间的地址翻译、协议转换和数据格式转换等功能，它工作于网络层。数据格式转换这句不对，没有格式转换功能
30. ×   定义令牌环帧的IEEE标准号是802.5。
31. ×   一个信道的带宽越宽，则在单位时间内能够传输的信息量越大。 
32. √   要访问Internet一定要安装TCP/IP协议。
33. ×   虚拟局域网的覆盖范围不受距离限制。
34. ×   OSI 网络体系结构中，数据的加密和压缩等功能是在表示层实现的
35. √   在命令状态下键入“ping 127．0．0．1”可以用来验证网卡是否正常。
36. ×   计算机与打印机之间的通信属于并行通信。
37. ×   某一主机IP地址为182.192.168.7，它属于B类网址。多了主机两个字，如果掩码是255.255.0.0 哪是B类，如果不是那就不是B类
38. ×   VLAN是利用软件和交换技术实现的，是一个虚拟网络。很不严谨，（虚拟局域网）
39. √   在以太网中用中继器连接网段，则网段数最多的为5个。
40. ×   FDDI网络通常在物理拓扑上采用星型结构，而逻辑结构是树型。
